origin_crs,dest_crs,single_fare_gbp,ticket_code
UHL,SRA,7.0,SDS
FLT,BFR,4.0,TKR
FLT,LBG,4.0,TKR
FLT,STP,4.0,TKR
HLN,BFR,4.0,TKR
HLN,LBG,4.0,TKR
HLN,STP,4.0,TKR
LEA,BFR,4.0,TKR
LEA,LBG,4.0,TKR
LEA,STP,4.0,TKR
LUT,BFR,4.0,TKR
LUT,LBG,4.0,TKR
LUT,STP,4.0,TKR
MLB,LON,30.6,SDS
RID,LON,30.6,SDS
WOB,LON,30.6,SDS
HPD,BFR,4.0,TKR
HPD,LBG,4.0,TKR
HPD,STP,4.0,TKR
SAC,BFR,4.0,TKR
SAC,LBG,4.0,TKR
SAC,STP,4.0,TKR
KTN,WAT,4.5,SDS
STP,BFR,4.1,SDS
STP,CHX,4.1,SDS
STP,LBG,4.1,SDS
STP,WAE,4.1,SDS
GSN,LON,11.6,SDS
GSN,SRA,14.8,SDS
BWO,LON,11.6,SDS
PKT,LON,11.6,SDS
SAA,LON,11.8,SDS
HWW,LON,11.6,SDS
LID,LON,30.6,SDS
MAT,LON,123.4,SOS
MTB,LON,123.4,SOS
WTS,LON,123.4,SOS
SHB,LON,119.8,SOS
ATB,LON,116.6,SOS
BEE,LON,116.6,SOS
BUT,LON,113.0,SOS
ZCW,LON,4.5,SDS
ZCW,SRA,7.0,SDS
PYE,LON,147.1,SDS
AMB,LON,123.4,SOS
BLP,LON,123.4,SOS
PEA,LON,123.4,SOS
DFI,LON,123.4,SOS
SPO,LON,123.4,SOS
MFT,LON,119.8,SOS
MSW,LON,119.8,SOS
LGM,LON,125.5,SOS
TUT,LON,135.5,SOS
ALF,LON,125.5,SOS
CMF,LON,123.4,SOS
DBY,LON,123.4,SOS
NOT,LON,116.6,SOS
LGE,LON,123.4,SOS
COR,LON,85.2,SOS
MMO,LON,123.4,SOS
KET,LON,81.1,SOS
SPK,LON,119.8,SOS
HKN,LON,116.6,SOS
NSD,LON,116.6,SOS
BLW,LON,116.6,SOS
KKB,LON,119.8,SOS
HNK,LON,89.5,SOS
LAG,LON,119.8,SOS
CWD,LON,119.8,SOS
NBR,LON,113.5,SOS
LBO,LON,114.5,SOS
SYS,LON,113.5,SOS
EMD,LON,116.6,SOS
SIL,LON,113.5,SOS
BWS,LON,113.5,SOS
OKM,LON,123.4,SOS
WIL,LON,123.4,SOS
MHR,LON,90.5,SOS
WEL,LON,74.8,SOS
LEI,LON,113.5,SOS
SWS,LON,113.5,SOS
THP,LON,50.5,SDS
THP,STP,50.6,SDS
BTP,LON,32.8,SDS
BTP,SRA,26.0,SDS
BTP,STP,34.5,SDS
KWK,LON,206.5,SOS
EBA,LON,198.0,SOS
OXN,LON,200.0,SOS
PNR,LON,203.5,SOS
CAR,LON,204.8,SOS
HSW,LON,162.5,SOS
NES,LON,162.5,SOS
UPT,LON,162.5,SOS
HWB,LON,162.5,SOS
MSH,EUS,77.2,SOS
OMS,LON,198.0,SOS
RUN,LON,179.0,SOS
CTR,LON,162.5,SOS
BER,LON,92.2,SDS
HHD,LON,185.5,SOS
,KGX,102.0,SDS
CWB,LON,180.0,SOS
RHL,LON,169.0,SOS
BNG,LON,183.0,SOS
LLJ,LON,180.0,SOS
FLN,LON,162.5,SOS
PRT,LON,169.0,SOS
,LON,39.3,SDS
,SRA,36.1,SDS
,STP,44.6,SDS
DWN,LON,212.5,SOS
,LON,5.9,SDS
,LON,4.0,TKR
,VIC,4.0,TKR
,LON,22.0,OR2
,STP,22.4,OR2
,LST,4.5,SDS
CPY,LON,188.5,SOS
KKM,LON,198.5,SOS
PFY,LON,198.5,SOS
LAN,LON,198.5,SOS
,KGX,111.0,SOS
BPN,LON,198.5,SOS
,LON,239.1,FOR
ENT,LON,212.5,SOS
PRE,EUS,92.0,SDS
PRE,LON,198.0,SOS
SPT,EUS,70.0,SOS
SPT,LON,152.2,SOS
WML,LON,183.0,SOS
CLY,LON,196.0,SOS
EDL,LON,196.0,SOS
MAC,LON,190.0,SOS
,LON,238.3,FOR
MIA,LON,152.2,SOS
MAN,EUS,70.0,SOS
TRA,LON,193.5,SOS
NMC,LON,128.1,SOS
RRB,LON,193.5,SOS
AML,PAD,5.9,SDS
AUW,LON,49.3,SDS
CBY,LON,48.0,SDS
CME,LON,46.7,SDS
HND,LON,46.7,SDS
KGM,LON,52.1,SDS
SIP,LON,49.3,SDS
FIN,LON,48.0,SDS
BNE,PAD,18.3,SDS
COO,PAD,17.2,SDS
