origin_crs,dest_crs,single_fare_gbp,ticket_code
ABW,LON,7.0,SDS
AYP,LON,8.5,SDS
BMG,LON,25.3,SDS
BMG,STP,25.4,SDS
EML,LON,24.3,SDS
EML,STP,24.4,SDS
ESD,LON,7.0,SDS
FCN,LON,7.0,SDS
GNH,BFR,4.0,TKR
GNH,LBG,4.0,TKR
GNH,LON,13.0,SDS
GNH,STP,4.0,TKR
HRM,LON,34.8,SDS
HRM,STP,34.9,SDS
HBN,LON,31.3,SDS
HBN,STP,31.4,SDS
CST,CHX,4.1,SDS
CST,LBG,4.1,SDS
CST,WAE,4.1,SDS
CHX,LBG,4.1,SDS
CHX,WAE,4.1,SDS
CTN,LON,5.9,SDS
DEP,LON,4.5,SDS
GNW,LON,4.5,SDS
LBG,VIC,4.5,SDS
LBG,WAE,4.1,SDS
NWX,LON,4.5,SDS
NWX,SRA,7.0,SDS
WWA,SRA,7.0,SDS
WWD,LON,5.9,SDS
SGR,LON,9.4,SDS
SUP,LON,7.0,SDS
SWM,BFR,4.0,TKR
SWM,LBG,4.0,TKR
SWM,LON,14.0,SDS
SWM,STP,4.0,TKR
ADM,LON,44.1,SDS
ADM,STP,44.2,SDS
AYL,LON,28.5,SDS
AYL,STP,28.6,SDS
BCH,LON,48.4,SDS
BCH,STP,48.5,SDS
FAV,LON,34.5,SDS
FAV,STP,34.6,SDS
GLM,BFR,4.0,TKR
GLM,LBG,4.0,TKR
GLM,LON,24.4,SDS
GLM,STP,4.0,TKR
GRV,BFR,4.0,TKR
GRV,LBG,4.0,TKR
GRV,LON,16.4,SDS
GRV,STP,4.0,TKR
HAI,LON,23.2,SDS
HAI,STP,24.3,SDS
HNB,LON,40.2,SDS
HNB,STP,40.3,SDS
NGT,LON,27.3,SDS
NGT,STP,27.4,SDS
QBR,LON,30.8,SDS
QBR,STP,30.9,SDS
RAI,BFR,4.0,TKR
RAI,LBG,4.0,TKR
RAI,LON,25.1,SDS
RAI,STP,4.0,TKR
SEG,LON,35.4,SDS
SEG,STP,35.5,SDS
SSS,LON,30.8,SDS
SSS,STP,30.9,SDS
SWO,LON,45.7,SDS
SWO,STP,45.8,SDS
SPH,LON,46.1,SDS
SPH,STP,46.2,SDS
SIT,LON,30.6,SDS
SIT,STP,30.7,SDS
SDA,LON,28.5,SDS
SDA,STP,28.6,SDS
SOO,BFR,4.0,TKR
SOO,LBG,4.0,TKR
SOO,LON,20.0,SDS
SOO,STP,4.0,TKR
TEY,LON,30.8,SDS
TEY,STP,30.9,SDS
WGA,LON,48.4,SDS
WGA,STP,48.5,SDS
WHI,LON,37.8,SDS
WHI,STP,37.9,SDS
AYH,LON,45.4,SDS
AYH,STP,45.5,SDS
BKS,LON,42.7,SDS
BKS,STP,42.8,SDS
CTM,BFR,4.0,TKR
CTM,LBG,4.0,TKR
CTM,LON,24.4,SDS
CTM,STP,4.0,TKR
CSW,LON,38.2,SDS
CSW,STP,38.3,SDS
CUX,LON,20.5,SDS
CUX,STP,23.8,SDS
HGM,BFR,4.0,TKR
HGM,LBG,4.0,TKR
HGM,LON,20.0,SDS
HGM,STP,4.0,TKR
RTR,BFR,4.0,TKR
RTR,LBG,4.0,TKR
RTR,LON,24.4,SDS
RTR,STP,4.0,TKR
KML,LON,30.8,SDS
KML,STP,30.9,SDS
BEX,LON,4.0,TKR
BEX,STP,44.7,SDS
BEX,VIC,4.0,TKR
BAT,LON,38.5,SDS
BAT,STP,38.5,SDS
ETC,LON,33.9,SDS
ETC,STP,33.9,SDS
FRT,LON,29.3,SDS
FRT,STP,29.3,SDS
HGS,LON,4.0,TKR
HGS,STP,44.7,SDS
HCN,LON,31.3,SDS
HCN,STP,31.4,SDS
MRN,LON,27.7,SDS
MRN,STP,27.8,SDS
PDW,LON,24.4,SDS
PDW,STP,24.5,SDS
PLC,LON,33.9,SDS
PLC,STP,34.0,SDS
RBR,LON,35.3,SDS
RBR,STP,35.3,SDS
BEG,LON,24.7,SDS
BEG,STP,24.8,SDS
SPU,LON,28.5,SDS
SPU,STP,28.6,SDS
TON,LON,18.8,SDS
TON,STP,21.4,SDS
TBW,LON,24.9,SDS
TBW,STP,24.9,SDS
WAD,LON,30.6,SDS
WAD,STP,30.6,SDS
YAL,LON,26.5,SDS
YAL,STP,26.6,SDS
CWU,LON,39.3,SDS
CWU,STP,39.3,SDS
EFL,LON,27.6,SDS
EFL,STP,27.7,SDS
HIB,LON,24.0,SDS
HIB,STP,24.0,SDS
HLB,LON,20.2,SDS
HLB,STP,20.2,SDS
NHE,LON,28.5,SDS
NHE,STP,28.6,SDS
SLQ,LON,4.0,TKR
SLQ,STP,44.7,SDS
SOG,LON,30.8,SDS
SOG,STP,30.8,SDS
WTR,LON,26.5,SDS
WTR,STP,26.6,SDS
WLD,LON,44.6,SDS
WLD,STP,44.7,SDS
SOJ,LON,39.0,SDS
SCG,BFR,4.0,TKR
SCG,LBG,4.0,TKR
SCG,LON,13.0,SDS
SCG,STP,4.0,TKR
SWL,LON,30.8,SDS
SWL,STP,30.9,SDS
AMY,LON,4.0,TKR
AMY,STP,4.0,TKR
AMY,VIC,4.0,TKR
ARU,LON,4.0,TKR
ARU,STP,4.0,TKR
ARU,VIC,4.0,TKR
BAA,LON,4.0,TKR
BAA,STP,4.0,TKR
BAA,VIC,4.0,TKR
BOG,LON,4.0,TKR
BOG,STP,4.0,TKR
BOG,VIC,4.0,TKR
BOH,LON,4.0,TKR
BOH,STP,47.3,OR2
BOH,VIC,4.0,TKR
CCH,LON,4.0,TKR
CCH,STP,47.3,OR2
CCH,VIC,4.0,TKR
EMS,LON,4.0,TKR
EMS,STP,47.3,OR2
EMS,VIC,4.0,TKR
FOD,LON,4.0,TKR
FOD,STP,4.0,TKR
FOD,VIC,4.0,TKR
LIT,LON,4.0,TKR
LIT,STP,4.0,TKR
LIT,VIC,4.0,TKR
FSB,LON,4.0,TKR
FSB,STP,47.3,OR2
FSB,VIC,4.0,TKR
NUT,LON,4.0,TKR
NUT,STP,47.3,OR2
NUT,VIC,4.0,TKR
SOB,LON,4.0,TKR
SOB,STP,47.3,OR2
SOB,VIC,4.0,TKR
WBL,LON,4.0,TKR
WBL,STP,47.3,OR2
WBL,VIC,4.0,TKR
ANG,LON,4.0,TKR
ANG,STP,4.0,TKR
ANG,VIC,4.0,TKR
BTN,BFR,4.0,TKR
BTN,LBG,4.0,TKR
BTN,LON,4.0,TKR
BTN,STP,4.0,TKR
BTN,VIC,4.0,TKR
GBS,LON,4.0,TKR
GBS,STP,4.0,TKR
GBS,VIC,4.0,TKR
HOV,LON,4.0,TKR
HOV,STP,4.0,TKR
HOV,VIC,4.0,TKR
LAC,LON,4.0,TKR
LAC,STP,4.0,TKR
LAC,VIC,4.0,TKR
PLD,LON,4.0,TKR
PLD,STP,4.0,TKR
PLD,VIC,4.0,TKR
SSE,LON,4.0,TKR
SSE,STP,4.0,TKR
SSE,VIC,4.0,TKR
WWO,LON,4.0,TKR
WWO,STP,4.0,TKR
WWO,VIC,4.0,TKR
WRH,LON,4.0,TKR
WRH,STP,4.0,TKR
WRH,VIC,4.0,TKR
AGT,LON,4.0,TKR
AGT,STP,4.0,TKR
AGT,VIC,4.0,TKR
LRB,LON,4.0,TKR
LRB,STP,4.0,TKR
LRB,VIC,4.0,TKR
DUR,LON,4.0,TKR
DUR,STP,4.0,TKR
DUR,VIC,4.0,TKR
EWR,LON,4.0,TKR
EWR,STP,4.0,TKR
EWR,VIC,4.0,TKR
FSG,LON,4.0,TKR
FSG,STP,4.0,TKR
FSG,VIC,4.0,TKR
PRP,BFR,4.0,TKR
PRP,LBG,4.0,TKR
PRP,LON,4.0,TKR
PRP,STP,4.0,TKR
PRP,VIC,4.0,TKR
SWK,LON,4.0,TKR
SWK,STP,4.0,TKR
SWK,VIC,4.0,TKR
LIH,LON,4.0,TKR
LIH,VIC,4.0,TKR
CHL,LON,21.3,SDS
CHL,STP,21.8,SDS
DKT,LON,14.6,SDS
DKT,STP,15.1,SDS
GOM,LON,18.0,SDS
GOM,STP,21.8,SDS
CLP,LON,4.5,SDS
HLM,LON,4.0,TKR
HLM,STP,4.0,TKR
HLM,VIC,4.0,TKR
HRH,LON,4.0,TKR
HRH,STP,4.0,TKR
HRH,VIC,4.0,TKR
OLY,LON,4.0,TKR
OLY,STP,4.0,TKR
OLY,VIC,4.0,TKR
MCB,LON,4.0,TKR
MCB,STP,4.0,TKR
MCB,VIC,4.0,TKR
WNH,LON,4.0,TKR
WNH,STP,4.0,TKR
WNH,VIC,4.0,TKR
CHH,LON,4.0,TKR
CHH,STP,4.0,TKR
CHH,VIC,4.0,TKR
BRK,LON,4.0,TKR
BRK,STP,4.0,TKR
BRK,VIC,4.0,TKR
BXD,LON,4.0,TKR
BXD,STP,4.0,TKR
COH,LON,4.0,TKR
COH,STP,4.0,TKR
LWS,LON,4.0,TKR
LWS,STP,4.0,TKR
LWS,VIC,4.0,TKR
NVH,LON,4.0,TKR
NVH,STP,4.0,TKR
NVH,VIC,4.0,TKR
NVN,LON,4.0,TKR
NVN,STP,4.0,TKR
NVN,VIC,4.0,TKR
PMP,LON,4.0,TKR
PMP,STP,4.0,TKR
PMP,VIC,4.0,TKR
SEF,LON,4.0,TKR
SEF,STP,4.0,TKR
SEF,VIC,4.0,TKR
UCK,LON,4.0,TKR
UCK,STP,4.0,TKR
CBR,LON,4.0,TKR
CBR,STP,4.0,TKR
CBR,VIC,4.0,TKR
FMR,LON,4.0,TKR
FMR,STP,4.0,TKR
FMR,VIC,4.0,TKR
GLY,LON,4.0,TKR
GLY,STP,4.0,TKR
GLY,VIC,4.0,TKR
SEE,LON,4.0,TKR
SEE,STP,4.0,TKR
SEE,VIC,4.0,TKR
WVF,BFR,4.0,TKR
WVF,LBG,4.0,TKR
WVF,LON,4.0,TKR
WVF,STP,4.0,TKR
WVF,VIC,4.0,TKR
NXG,SRA,7.0,SDS
AHD,LON,4.0,TKR
AHD,STP,9.2,SDS
DKG,LON,14.6,SDS
EPS,LON,9.2,SDS
EPS,STP,9.2,SDS
HOR,LON,4.0,TKR
HOR,STP,4.0,TKR
LHD,LON,4.0,TKR
LHD,STP,10.5,SDS
LFD,LON,4.0,TKR
LFD,STP,4.0,TKR
LFD,VIC,4.0,TKR
WWR,LON,4.5,SDS
OXT,LON,4.0,TKR
OXT,STP,4.0,TKR
OXT,VIC,4.0,TKR
SAF,LON,4.0,TKR
SAF,STP,4.0,TKR
AHS,LON,4.0,TKR
AHS,STP,4.0,TKR
BIP,LON,4.0,TKR
BIP,STP,4.0,TKR
BIP,VIC,4.0,TKR
BXW,LON,4.0,TKR
CWN,LON,4.0,TKR
CWN,STP,4.0,TKR
DPD,LON,14.6,SDS
DPD,STP,15.1,SDS
DMS,LON,4.0,TKR
DMS,STP,4.0,TKR
DMS,VIC,4.0,TKR
ELD,LON,4.0,TKR
ELD,STP,4.0,TKR
GTW,LBG,4.0,TKR
GTW,LON,4.0,TKR
GTW,VIC,4.0,TKR
HEV,LON,4.0,TKR
HEV,STP,4.0,TKR
DMK,LON,4.5,SDS
PMR,LON,4.5,SDS
QRP,SRA,7.0,SDS
VIC,WAT,4.5,SDS
WOH,LON,4.0,TKR
WOH,STP,4.0,TKR
WOH,VIC,4.0,TKR
EBN,LON,4.0,TKR
EBN,STP,4.0,TKR
EBN,VIC,4.0,TKR
HMD,LON,4.0,TKR
HMD,STP,4.0,TKR
HMD,VIC,4.0,TKR
PLG,LON,4.0,TKR
PLG,STP,4.0,TKR
PLG,VIC,4.0,TKR
CLL,LON,4.0,TKR
CLL,STP,44.7,SDS
CLL,VIC,4.0,TKR
COB,LON,4.0,TKR
COB,STP,44.7,SDS
COB,VIC,4.0,TKR
ERI,LON,4.0,TKR
ERI,STP,4.0,TKR
NSB,LON,4.0,TKR
NSB,STP,44.7,SDS
NSB,VIC,4.0,TKR
PEV,LON,43.7,SDS
PEV,VIC,4.0,TKR
PEB,LON,43.7,SDS
PEB,VIC,4.0,TKR
HUR,LON,4.0,TKR
HUR,STP,4.0,TKR
HUR,VIC,4.0,TKR
BIG,LON,4.0,TKR
BIG,STP,4.0,TKR
BIG,VIC,4.0,TKR
PUL,LON,4.0,TKR
PUL,STP,4.0,TKR
PUL,VIC,4.0,TKR
BTO,LON,15.4,SDS
BTO,STP,4.0,TKR
GDN,LON,4.0,TKR
GDN,VIC,4.0,TKR
MHM,LON,4.0,TKR
MHM,STP,4.0,TKR
NUF,LON,4.0,TKR
NUF,VIC,4.0,TKR
PHR,LON,4.0,TKR
PHR,VIC,4.0,TKR
RDH,LON,4.0,TKR
RDH,STP,4.0,TKR
REI,LON,4.0,TKR
REI,STP,4.0,TKR
BUG,BFR,4.0,TKR
BUG,LBG,4.0,TKR
BUG,LON,4.0,TKR
BUG,STP,4.0,TKR
BUG,VIC,4.0,TKR
CRW,LON,4.0,TKR
CRW,STP,4.0,TKR
CRW,VIC,4.0,TKR
EGR,LON,4.0,TKR
EGR,STP,4.0,TKR
EGR,VIC,4.0,TKR
HSK,BFR,4.0,TKR
HSK,LBG,4.0,TKR
HSK,LON,4.0,TKR
HSK,STP,4.0,TKR
HSK,VIC,4.0,TKR
HHE,BFR,4.0,TKR
HHE,LBG,4.0,TKR
HHE,LON,4.0,TKR
HHE,STP,4.0,TKR
HHE,VIC,4.0,TKR
TBD,BFR,4.0,TKR
TBD,LBG,4.0,TKR
TBD,LON,4.0,TKR
TBD,STP,4.0,TKR
TBD,VIC,4.0,TKR
BAB,BFR,4.0,TKR
BAB,LBG,4.0,TKR
BAB,LON,4.0,TKR
BAB,STP,4.0,TKR
BAB,VIC,4.0,TKR
FGT,LON,4.0,TKR
FGT,STP,4.0,TKR
FGT,VIC,4.0,TKR
SAB,LON,65.2,SDS
IFI,LON,4.0,TKR
IFI,STP,4.0,TKR
IFI,VIC,4.0,TKR
LVN,LON,4.0,TKR
LVN,STP,4.0,TKR
LVN,VIC,4.0,TKR
BMY,LON,31.2,OR2
BMY,STP,31.6,OR2
MOR,LON,31.2,OR2
MOR,STP,31.6,OR2
DMH,LON,55.2,OR2
LKE,LON,66.3,SDS
WMN,LON,55.2,OR2
FTN,LON,4.0,TKR
FTN,STP,50.0,OR2
ADV,LON,43.8,OR2
ADV,STP,44.2,OR2
GRT,LON,43.8,OR2
GRT,STP,44.2,OR2
BSK,LON,31.1,OR2
FLE,LON,22.1,SDS
FLE,STP,22.6,SDS
HOK,LON,28.5,OR2
HOK,STP,28.9,OR2
SAN,LON,66.1,SDS
OVR,LON,36.7,OR2
OVR,STP,37.1,OR2
WCH,LON,39.4,OR2
WCH,STP,39.8,OR2
WNF,LON,26.8,OR2
WNF,STP,27.2,OR2
SHN,LON,67.0,SDS
BDN,LON,65.6,SDS
HAV,LON,4.0,TKR
HAV,STP,46.2,OR2
BDH,LON,4.0,TKR
BDH,STP,46.2,OR2
HLS,LON,4.0,TKR
HLS,SRA,44.0,SDS
HLS,STP,50.0,OR2
RYP,LON,65.6,SDS
RYD,LON,67.9,SDS
RYR,LON,64.1,SDS
AON,LON,26.0,OR2
AON,STP,26.4,OR2
FNH,LON,21.7,OR2
FNH,STP,22.1,OR2
AHV,LON,20.2,OR2
AHV,STP,20.6,OR2
ASD,LON,138.7,SDS
ASN,LON,13.6,SDS
ASN,SRA,18.2,SDS
ASN,STP,14.1,SDS
BNS,LON,5.9,SDS
BFD,LON,7.0,SDS
CHY,LON,13.6,SDS
CHY,SRA,18.2,SDS
CHY,STP,14.1,SDS
CSS,LON,9.4,SDS
CLA,LON,15.4,SDS
CLA,SRA,20.8,SDS
CLA,STP,15.9,SDS
CLG,LON,9.6,SDS
CLG,SRA,13.5,SDS
CLG,STP,10.1,SDS
CSD,LON,11.6,SDS
CSD,SRA,17.2,SDS
CSD,STP,12.1,SDS
ESH,LON,9.6,SDS
ESH,SRA,13.7,SDS
ESH,STP,10.1,SDS
FEL,LON,9.4,SDS
HMP,LON,9.4,SDS
HMC,LON,9.4,SDS
HSY,LON,14.1,SDS
HSY,SRA,20.8,SDS
HSY,STP,14.6,SDS
HOU,LON,8.5,SDS
LHR,LON,26.4,SDS
KNG,LON,9.4,SDS
EBD,LON,22.2,SDS
NEM,LON,7.0,SDS
NBT,LON,8.5,SDS
RAY,LON,7.0,SDS
RMD,LON,7.0,SDS
RMD,SRA,7.0,SDS
SUR,LON,9.4,SDS
TED,LON,9.4,SDS
TOL,LON,8.5,SDS
TWI,LON,8.5,SDS
WAL,LON,10.4,SDS
WAL,SRA,15.7,SDS
WAL,STP,10.9,SDS
WNT,LON,4.5,SDS
WYB,LON,10.7,SDS
WYB,SRA,15.7,SDS
WYB,STP,11.2,SDS
WIM,LON,5.9,SDS
WCP,LON,7.0,SDS
BNI,LON,5.9,SDS
BRS,LON,8.5,SDS
CSN,LON,9.4,SDS
CHK,LON,5.9,SDS
EAD,LON,5.9,SDS
EWW,LON,9.4,SDS
FLW,LON,9.4,SDS
GUN,EUS,7.0,SDS
GUN,SRA,7.0,SDS
HMW,LON,9.4,SDS
HER,LON,9.7,SDS
HER,SRA,13.7,SDS
HER,STP,10.2,SDS
HYW,LON,9.6,SDS
HYW,SRA,13.5,SDS
HYW,STP,10.1,SDS
ISL,LON,7.0,SDS
KWB,LON,5.9,SDS
KWG,EUS,7.0,SDS
KWG,SRA,7.0,SDS
CLJ,LON,4.5,SDS
CLJ,SRA,7.0,SDS
QRB,LON,4.5,SDS
VXH,VIC,4.5,SDS
VXH,WAT,4.1,SDS
MAL,LON,7.0,SDS
MTL,EUS,7.0,SDS
MTL,LON,5.9,SDS
MTL,SRA,5.0,SDS
NSH,LON,5.9,SDS
NSH,SRA,5.0,SDS
OXS,LON,10.7,SDS
OXS,SRA,13.5,SDS
OXS,STP,11.2,SDS
PUT,LON,4.5,SDS
SMG,LON,7.0,SDS
SMG,SRA,5.0,SDS
SHP,LON,11.1,SDS
SHP,STP,11.1,SDS
SNL,LON,8.5,SDS
STW,LON,8.5,SDS
SUU,LON,10.2,SDS
SUU,STP,10.2,SDS
SYL,LON,7.0,SDS
THD,LON,9.4,SDS
WTN,LON,8.5,SDS
UPH,LON,10.7,SDS
UPH,STP,10.7,SDS
AHT,LON,20.2,OR2
AHT,STP,20.6,OR2
BTY,LON,23.3,OR2
BTY,STP,23.7,OR2
BAW,LON,21.0,OR2
BKA,LON,11.8,SDS
BKA,STP,12.3,SDS
CRN,LON,21.0,OR2
GOD,LON,20.5,OR2
GOD,STP,20.9,OR2
GLD,LON,17.7,SDS
GLD,SRA,22.0,OR2
GLD,STP,18.2,SDS
LRD,LON,17.7,SDS
LRD,STP,18.2,SDS
HSL,LON,29.4,OR2
HSL,STP,29.8,OR2
LIP,LON,30.6,OR2
LIP,STP,31.0,OR2
LIS,LON,34.6,OR2
LIS,STP,35.0,OR2
NCM,LON,21.0,OR2
NCM,STP,21.4,OR2
SFR,LON,17.9,SDS
SFR,STP,18.4,SDS
WAN,LON,20.5,OR2
WAN,STP,20.9,OR2
WTY,LON,22.2,OR2
WTY,STP,22.6,OR2
ASH,LON,20.5,OR2
ASH,STP,20.9,OR2
EFF,LON,12.1,SDS
EFF,SRA,17.2,SDS
EFF,STP,12.6,SDS
FNC,LON,20.5,OR2
FNC,STP,20.9,OR2
MLF,LON,21.1,OR2
MLF,STP,21.5,OR2
MOT,LON,7.0,SDS
SND,LON,21.0,OR2
PTR,LON,36.3,OR2
PTR,STP,36.7,OR2
RLN,LON,44.9,OR2
RLN,STP,45.3,OR2
SAL,LON,53.1,OR2
SAL,STP,53.5,OR2
ACT,LON,16.4,SDS
ACT,STP,16.9,SDS
AFS,LON,10.6,SDS
AFS,STP,10.6,SDS
DAT,LON,12.7,SDS
DAT,STP,12.7,SDS
EGH,LON,12.7,SDS
EGH,STP,12.7,SDS
SNS,LON,10.9,SDS
SNS,STP,10.9,SDS
SNG,LON,15.5,SDS
SNG,SRA,18.2,SDS
SNG,STP,16.0,SDS
WNR,LON,13.0,SDS
WNR,STP,13.0,SDS
WRY,LON,11.9,SDS
WRY,STP,11.9,SDS
LNG,LON,13.7,SDS
LNG,SRA,18.2,SDS
LNG,STP,14.2,SDS
SNY,LON,12.7,SDS
SNY,STP,12.7,SDS
VIR,LON,13.0,SDS
VIR,STP,13.0,SDS
KMP,LON,10.2,SDS
KMP,STP,10.2,SDS
BAG,LON,19.9,SDS
BAG,STP,21.2,OR2
CAM,LON,20.2,OR2
CAM,STP,20.6,OR2
FML,LON,20.2,OR2
FML,STP,20.6,OR2
WBY,LON,13.7,SDS
WBY,SRA,20.2,SDS
WBY,STP,14.2,SDS
WOK,LON,15.2,SDS
WOK,SRA,20.2,SDS
WOK,STP,15.7,SDS
WPL,LON,17.4,SDS
WPL,STP,17.9,SDS
BKO,LON,17.4,SDS
BKO,STP,17.9,SDS
BFN,LON,12.6,SDS
BFN,SRA,20.2,SDS
BFN,STP,13.1,SDS
MAO,LON,17.7,OR2
MAO,STP,18.2,OR2
BCE,LON,18.0,OR2
BCE,STP,18.5,OR2
EAR,LON,21.4,OR2
EAR,STP,21.9,OR2
WKM,LON,20.5,OR2
WKM,STP,21.0,OR2
WNS,LON,21.1,OR2
WNS,STP,21.6,OR2
WTI,LON,21.1,OR2
WTI,STP,21.6,OR2
BRU,LON,113.4,SDS
CLC,LON,129.3,SDS
FRO,LON,47.25,OR2
WSB,LON,55.2,OR2
AXM,LON,84.2,OR2
HON,LON,85.9,OR2
BNP,LON,110.5,OR2
SJP,LON,149.5,SDS
DIG,LON,149.5,SDS
CDI,LON,104.8,OR2
EXC,LON,93.5,OR2
EXM,LON,149.5,SDS
PIN,LON,88.1,OR2
TOP,LON,149.5,SDS
WHM,LON,88.1,OR2
EXN,LON,149.5,SDS
LYM,LON,149.5,SDS
LYC,LON,149.5,SDS
,BFR,4.1,SDS
,CHX,4.1,SDS
,LBG,4.1,SDS
,STP,4.1,SDS
,WAE,4.1,SDS
OKE,LON,104.8,OR2
GIL,LON,65.0,OR2
TIS,LON,61.5,OR2
FNT,LON,85.9,OR2
CPN,LON,110.5,OR2
COP,LON,107.3,OR2
EGG,LON,109.1,OR2
KGN,LON,109.1,OR2
LAP,LON,109.1,OR2
MRD,LON,107.3,OR2
UMB,LON,110.5,OR2
YEO,LON,107.3,OR2
NTC,LON,104.8,OR2
PMA,LON,110.5,OR2
CKN,LON,75.3,OR2
SHE,LON,72.4,OR2
CFR,LON,53.5,OR2
CFR,STP,53.9,OR2
TMC,LON,66.0,OR2
YVJ,LON,73.1,OR2
CNO,LON,138.7,SDS
THO,LON,138.7,SDS
MDN,LON,138.7,SDS
YVP,LON,138.7,SDS
YET,LON,138.7,SDS
BSM,LON,75.2,OR2
BMH,LON,75.2,OR2
CHR,LON,71.0,OR2
HNA,LON,68.0,OR2
NWM,LON,66.3,OR2
PKS,LON,77.4,OR2
POO,LON,77.4,OR2
SWY,LON,64.4,OR2
POK,LON,72.2,OR2
BCU,LON,62.4,OR2
LYT,LON,63.1,OR2
BEU,LON,59.2,OR2
LYP,LON,63.1,OR2
HDE,LON,49.6,OR2
HDE,STP,50.0,OR2
BOE,LON,49.6,OR2
BOE,STP,50.0,OR2
CSA,LON,4.0,TKR
CSA,SRA,44.0,SDS
CSA,STP,50.0,OR2
ESL,LON,49.6,OR2
ESL,STP,50.0,OR2
FRM,LON,4.0,TKR
FRM,STP,50.0,OR2
ANF,LON,59.2,OR2
MIC,LON,39.4,OR2
MIC,STP,39.8,OR2
MBK,LON,57.0,OR2
MBK,STP,57.4,OR2
NTL,LON,57.0,OR2
NTL,STP,57.4,OR2
RDB,LON,57.0,OR2
RDB,STP,57.4,OR2
SDN,LON,4.0,TKR
SDN,STP,57.4,OR2
SNW,LON,4.0,TKR
SNW,STP,57.4,OR2
TTN,LON,59.2,OR2
SOA,LON,57.0,OR2
SOA,STP,57.4,OR2
WIN,LON,48.5,OR2
WIN,STP,48.9,OR2
WLS,LON,4.0,TKR
WLS,STP,57.4,OR2
BUO,LON,57.0,OR2
BUO,STP,57.4,OR2
PTC,LON,4.0,TKR
PTC,STP,50.0,OR2
SHW,LON,48.5,OR2
SHW,STP,48.9,OR2
SHO,LON,57.0,OR2
SHO,STP,57.4,OR2
SOU,LON,4.0,TKR
SOU,STP,57.4,OR2
SWG,LON,57.0,OR2
SWG,STP,57.4,OR2
HAM,LON,77.6,OR2
HOL,LON,77.6,OR2
DEN,LON,58.0,OR2
DEN,STP,58.4,OR2
ROM,LON,58.0,OR2
ROM,STP,58.4,OR2
DBG,LON,58.0,OR2
DBG,STP,58.4,OR2
BTE,LON,57.0,OR2
BTE,STP,57.4,OR2
HME,LON,57.0,OR2
HME,STP,57.4,OR2
MTN,LON,81.6,OR2
WRM,LON,80.9,OR2
WOO,LON,81.4,OR2
WEY,LON,86.0,OR2
UPW,LON,84.7,OR2
DYP,SRA,7.0,SDS
EXR,SRA,7.0,SDS
BAY,BFR,13.6,SDS
BAY,LBG,13.6,SDS
BAY,LON,4.0,TKR
CUF,BFR,10.6,SDS
CUF,LBG,10.6,SDS
CUF,LON,4.0,TKR
HHY,SRA,7.0,SDS
ENC,LON,8.5,SDS
NBA,LON,8.5,SDS
PBR,BFR,11.6,SDS
PBR,LBG,11.6,SDS
PBR,LON,4.0,TKR
BOP,SRA,4.2,SDS
GDH,LON,8.5,SDS
GPK,LON,8.5,SDS
HAT,BFR,14.3,SDS
HAT,LBG,14.3,SDS
HAT,LON,4.0,TKR
WMG,BFR,12.3,SDS
WMG,LBG,12.3,SDS
WMG,LON,4.0,TKR
BPK,BFR,12.3,SDS
BPK,LBG,12.3,SDS
BPK,LON,4.0,TKR
AWM,BFR,4.0,TKR
AWM,LBG,4.0,TKR
AWM,LON,4.0,TKR
AWM,STP,4.0,TKR
BDK,BFR,4.0,TKR
BDK,LBG,4.0,TKR
BDK,LON,4.0,TKR
BDK,STP,4.0,TKR
HFN,LON,4.0,TKR
HIT,BFR,4.0,TKR
HIT,LBG,4.0,TKR
HIT,LON,4.0,TKR
HIT,STP,4.0,TKR
KBW,BFR,13.4,SDS
KBW,LBG,13.4,SDS
KBW,LON,4.0,TKR
LET,BFR,4.0,TKR
LET,LBG,4.0,TKR
LET,LON,4.0,TKR
LET,STP,4.0,TKR
RYS,BFR,4.0,TKR
RYS,LBG,4.0,TKR
RYS,LON,4.0,TKR
RYS,STP,4.0,TKR
SVG,BFR,4.0,TKR
SVG,LBG,4.0,TKR
SVG,LON,4.0,TKR
SVG,STP,4.0,TKR
WAS,BFR,13.4,SDS
WAS,LBG,13.4,SDS
WAS,LON,4.0,TKR
WLW,BFR,13.4,SDS
WLW,LBG,13.4,SDS
WLW,LON,4.0,TKR
HUN,BFR,4.0,TKR
HUN,LBG,4.0,TKR
HUN,LON,4.0,TKR
HUN,STP,4.0,TKR
SNO,BFR,4.0,TKR
SNO,LBG,4.0,TKR
SNO,LON,4.0,TKR
SNO,STP,4.0,TKR
PBO,BFR,4.0,TKR
PBO,LBG,4.0,TKR
PBO,LON,43.1,SDS
PBO,STP,4.0,TKR
SMD,LON,47.7,SDS
BIW,BFR,4.0,TKR
BIW,LBG,4.0,TKR
BIW,LON,4.0,TKR
BIW,STP,4.0,TKR
ARL,BFR,4.0,TKR
ARL,LBG,4.0,TKR
ARL,LON,4.0,TKR
ARL,STP,4.0,TKR
SDY,BFR,4.0,TKR
SDY,LBG,4.0,TKR
SDY,LON,4.0,TKR
SDY,STP,4.0,TKR
WGC,BFR,16.2,SDS
WGC,LBG,16.2,SDS
WGC,LON,4.0,TKR
BUJ,LON,116.6,SOS
CTO,LON,116.6,SOS
LOW,LON,116.6,SOS
THU,LON,116.6,SOS
BSB,LON,116.6,SOS
ALK,LON,116.6,SOS
BIN,LON,116.6,SOS
BTF,LON,116.6,SOS
